latin	shavian	part of speech	pronunciation	frequency
ok	𐑴𐑒𐑱			49968
take	𐑑𐑱𐑒			49868
an	𐑩𐑯			49832
way	𐑢𐑱			49794
little	𐑤𐑦𐑑𐑩𐑤			47885
make	𐑥𐑱𐑒			46154
need	𐑯𐑰𐑛			46040
gonna	𐑜𐑪𐑯𐑩			45124
never	𐑯𐑧𐑝𐑼			44728
we're	𐑢𐑰'𐑼			43491
too	𐑑𐑵			43360
love	𐑤𐑳𐑝			42994
she's	𐑖𐑰'𐑟			42795
sure	𐑖𐑫𐑼			40757
them	𐑞𐑧𐑥			40366
more	𐑥𐑹			40239
over	𐑴𐑝𐑼			40001
our	𐑬𐑼			39896
sorry	𐑕𐑪𐑮𐑦			39854
where	𐑢𐑺			39330
what's	𐑢𐑪𐑑'𐑕			39305
let	𐑤𐑧𐑑			38858
thing	𐑔𐑦𐑙			38121
am	𐑨𐑥			37814
maybe	𐑥𐑱𐑚𐑰			37653
down	𐑛𐑬𐑯			37644
man	𐑥𐑨𐑯			37355
has	𐑣𐑨𐑟			37145
very	𐑝𐑧𐑮𐑦			36140
by	𐑚𐑲			35500
there's	𐑞𐑺'𐑟			35242
should	𐑖𐑫𐑛			34829
anything	𐑧𐑯𐑦𐑔𐑦𐑙			34635
said	𐑕𐑧𐑛			34568
much	𐑥𐑳𐑗			34270
any	𐑧𐑯𐑦			34203
life	𐑤𐑲𐑓			34192
even	𐑰𐑝𐑩𐑯			33895
off	𐑪𐑓			33887
please	𐑐𐑤𐑰𐑟			33628
doing	𐑛𐑵𐑦𐑙			32831
thank	𐑔𐑨𐑙𐑒			31728
give	𐑜𐑦𐑝			31073
only	𐑴𐑯𐑤𐑦			30599
thought	𐑔𐑷𐑑			30211
help	𐑣𐑧𐑤𐑐			29825
two	𐑑𐑵			29788
talk	𐑑𐑷𐑒			28834
people	𐑐𐑰𐑐𐑩𐑤			28517
god	𐑜𐑪𐑛			28502
still	𐑕𐑑𐑦𐑤			28308
wait	𐑢𐑱𐑑			27920
into	𐑦𐑯𐑑𐑵			27354
find	𐑓𐑲𐑯𐑛			26757
nothing	𐑯𐑳𐑔𐑦𐑙			26592
again	𐑩𐑜𐑧𐑯			26472
things	𐑔𐑦𐑙𐑟			26305
let's	𐑤𐑧𐑑'𐑕			26132
doesn't	𐑛𐑳𐑟𐑩𐑯𐑑			25926
call	𐑒𐑷𐑤			25880
told	𐑑𐑴𐑤𐑛			25594
great	𐑜𐑮𐑱𐑑			25435
before	𐑚𐑦𐑓𐑹			25329
better	𐑚𐑧𐑑𐑼			25282
ever	𐑧𐑝𐑼			25127
night	𐑯𐑲𐑑			24900
than	𐑞𐑨𐑯			24815
away	𐑩𐑢𐑱			24543
first	𐑓𐑻𐑕𐑑			24509
believe	𐑚𐑦𐑤𐑰𐑝			24210
other	𐑳𐑞𐑼			23936
feel	𐑓𐑰𐑤			23850
everything	𐑧𐑝𐑮𐑦𐑔𐑦𐑙			23714
work	𐑢𐑻𐑒			23683
you've	𐑿'𐑝			23483
fine	𐑓𐑲𐑯			22993
home	𐑣𐑴𐑥			22901
after	𐑨𐑓𐑑𐑼			22182
last	𐑤𐑨𐑕𐑑			21965
these	𐑞𐑰𐑟			21929
day	𐑛𐑱			21860
keep	𐑒𐑰𐑐			21842
put	𐑐𐑫𐑑			21617
around	𐑼𐑬𐑯𐑛			21591
stop	𐑕𐑑𐑪𐑐			21341
they're	𐑞𐑱'𐑼			21309
guy	𐑜𐑲			21126
long	𐑤𐑪𐑙			21086
isn't	𐑦𐑟𐑩𐑯𐑑			20796
always	𐑷𐑤𐑢𐑱𐑟			20581
listen	𐑤𐑦𐑕𐑩𐑯			20142
wanted	𐑢𐑪𐑯𐑑𐑩𐑛			20074
Mr	𐑥𐑮			20053
guys	𐑜𐑲𐑟			19953
huh	𐑣𐑳			19871
those	𐑞𐑴𐑟			19849
big	𐑚𐑦𐑜			19520
lot	𐑤𐑪𐑑			19421
happened	𐑣𐑨𐑐𐑩𐑯𐑛			19282
thanks	𐑔𐑨𐑙𐑒𐑕			19233
won't	𐑢𐑴𐑯𐑑			19208
trying	𐑑𐑮𐑲𐑦𐑙			19173
kind	𐑒𐑲𐑯𐑛			19031
wrong	𐑮𐑪𐑙			19025
through	𐑔𐑮𐑵			18903
talking	𐑑𐑷𐑒𐑦𐑙			18875
made	𐑥𐑱𐑛			18872
new	𐑯𐑵			18860
being	𐑚𐑰𐑦𐑙			18666
guess	𐑜𐑧𐑕			18473
hi	𐑣𐑲			18285
care	𐑒𐑺			18042
bad	𐑚𐑨𐑛			17636
mom	𐑥𐑪𐑥			17514
remember	𐑮𐑦𐑥𐑧𐑥𐑚𐑼			17266
getting	𐑜𐑧𐑑𐑦𐑙			17199
we'll	𐑢𐑰'𐑤			17077
together	𐑑𐑩𐑜𐑧𐑞𐑼			17074
dad	𐑛𐑨𐑛			17003
leave	𐑤𐑰𐑝			16978
mother	𐑥𐑳𐑞𐑼			16855
place	𐑐𐑤𐑱𐑕			16796
understand	𐑳𐑯𐑛𐑼𐑕𐑑𐑨𐑯𐑛			16724
wouldn't	𐑢𐑫𐑛𐑩𐑯𐑑			16615
actually	𐑨𐑒𐑗𐑵𐑩𐑤𐑦			16585
hear	𐑣𐑽			16523
baby	𐑚𐑱𐑚𐑦			16514
father	𐑓𐑭𐑞𐑼			16233
else	𐑧𐑤𐑕			16214
stay	𐑕𐑑𐑱			16167
done	𐑛𐑳𐑯			16010
wasn't	𐑢𐑪𐑟𐑩𐑯𐑑			16007
their	𐑞𐑺			15907
course	𐑒𐑹𐑕			15866
might	𐑥𐑲𐑑			15774
mind	𐑥𐑲𐑯𐑛			15364
every	𐑧𐑝𐑮𐑦			15350
enough	𐑦𐑯𐑳𐑓			15322
try	𐑑𐑮𐑲			15235
hell	𐑣𐑧𐑤			15191
came	𐑒𐑱𐑥			15142
someone	𐑕𐑳𐑥𐑢𐑳𐑯			15035
you'll	𐑿'𐑤			14958
own	𐑴𐑯			14849
family	𐑓𐑨𐑥𐑤𐑦			14765
whole	𐑣𐑴𐑤			14623
another	𐑩𐑯𐑳𐑞𐑼			14541
house	𐑣𐑬𐑟.	VB		14458
jack	𐑡𐑨𐑒			14324
yourself	𐑘𐑹𐑕𐑧𐑤𐑓			14291
idea	𐑲𐑛𐑾			14203
ask	𐑨𐑕𐑒			14194
best	𐑚𐑧𐑕𐑑			14094
must	𐑥𐑳𐑕𐑑			14089
coming	𐑒𐑳𐑥𐑦𐑙			14082
old	𐑴𐑤𐑛			14041
looking	𐑤𐑫𐑒𐑦𐑙			13843
woman	𐑢𐑫𐑥𐑩𐑯			13734
hello	𐑣𐑧𐑤𐑴			13655
which	𐑢𐑦𐑗			13652
years	𐑘𐑽𐑟			13526
room	𐑮𐑵𐑥			13467
money	𐑥𐑳𐑯𐑦			13456
left	𐑤𐑧𐑓𐑑			13428
knew	𐑯𐑵			13357
tonight	𐑑𐑩𐑯𐑲𐑑			13305
son	𐑕𐑳𐑯			13131
hope	𐑣𐑴𐑐			13093
name	𐑯𐑱𐑥			13044
same	𐑕𐑱𐑥			13024
went	𐑢𐑧𐑯𐑑			12892
um	𐑳𐑥			12883
hmm	𐑣𐑥𐑥			12819
happy	𐑣𐑨𐑐𐑦			12788
pretty	𐑐𐑮𐑦𐑑𐑦			12746
saw	𐑕𐑷			12707
girl	𐑜𐑻𐑤			12641
sir	𐑕𐑻			12557
show	𐑖𐑴			12392
friend	𐑓𐑮𐑧𐑯𐑛			12245
already	𐑷𐑤𐑮𐑧𐑛𐑦			12233
saying	𐑕𐑱𐑦𐑙			12204
next	𐑯𐑧𐑒𐑕𐑑			12147
three	𐑔𐑮𐑰			12088
problem	𐑐𐑮𐑪𐑚𐑤𐑩𐑥			11931
minute	𐑥𐑲𐑯𐑵𐑑	JJ		11903
found	𐑓𐑬𐑯𐑛			11875
world	𐑢𐑻𐑤𐑛			11754
thinking	𐑔𐑦𐑙𐑒𐑦𐑙			11721
haven't	𐑣𐑨𐑝𐑩𐑯𐑑			11699
heard	𐑣𐑻𐑛			11692
honey	𐑣𐑳𐑯𐑦			11659
matter	𐑥𐑨𐑑𐑼			11578
myself	𐑥𐑲𐑕𐑧𐑤𐑓			11559
couldn't	𐑒𐑫𐑛𐑩𐑯𐑑			11550
exactly	𐑦𐑜𐑟𐑨𐑒𐑑𐑤𐑦			11502
having	𐑣𐑨𐑝𐑦𐑙			11481
ah	𐑭			11347
probably	𐑐𐑮𐑪𐑚𐑩𐑚𐑤𐑦			11332
happen	𐑣𐑨𐑐𐑩𐑯			11273
we've	𐑢𐑰'𐑝			11200
hurt	𐑣𐑻𐑑			11145
boy	𐑚𐑶			11050
both	𐑚𐑴𐑔			11035
while	𐑢𐑲𐑤			11006
dead	𐑛𐑧𐑛			11002
gotta	𐑜𐑪𐑑𐑩			11000
alone	𐑩𐑤𐑴𐑯			10813
since	𐑕𐑦𐑯𐑕			10757
excuse	𐑦𐑒𐑕𐑒𐑿𐑟	VB		10747
start	𐑕𐑑𐑸𐑑			10704
kill	𐑒𐑦𐑤			10676
hard	𐑣𐑸𐑛			10608
you'd	𐑿'𐑛			10577
today	𐑑𐑩𐑛𐑱			10561
car	𐑒𐑸			10485
ready	𐑮𐑧𐑛𐑦			10461
until	𐑩𐑯𐑑𐑦𐑤			10432
without	𐑢𐑦𐑞𐑬𐑑			10421
whatever	𐑢𐑪𐑑𐑧𐑝𐑼			10363
wants	𐑢𐑪𐑯𐑑𐑕			10269
hold	𐑣𐑴𐑤𐑛			10254
wanna	𐑢𐑪𐑯𐑩			10250
yet	𐑘𐑧𐑑			10225
seen	𐑕𐑰𐑯			10192
deal	𐑛𐑰𐑤			10143
took	𐑑𐑫𐑒			10083
once	𐑢𐑳𐑯𐑕			9931
gone	𐑜𐑪𐑯			9877
called	𐑒𐑷𐑤𐑛			9871
morning	𐑥𐑹𐑯𐑦𐑙			9823
supposed	𐑕𐑩𐑐𐑴𐑟𐑛			9818
friends	𐑓𐑮𐑧𐑯𐑛𐑟			9814
head	𐑣𐑧𐑛			9794
stuff	𐑕𐑑𐑳𐑓			9709
most	𐑥𐑴𐑕𐑑			9699
worry	𐑢𐑳𐑮𐑦			9620
part	𐑐𐑸𐑑			9518
live	𐑤𐑦𐑝	VB		9507
truth	𐑑𐑮𐑵𐑔			9470
school	𐑕𐑒𐑵𐑤			9443
face	𐑓𐑱𐑕			9441
forget	𐑓𐑼𐑜𐑧𐑑			9322
TRUE	𐑑𐑮𐑵			9296
business	𐑚𐑦𐑟𐑯𐑩𐑕			9295
cause	𐑒𐑷𐑟			9277
each	𐑰𐑗			9277
soon	𐑕𐑵𐑯			9261
knows	𐑯𐑴𐑟			9217
few	𐑓𐑿			9164
telling	𐑑𐑧𐑤𐑦𐑙			9129
wife	𐑢𐑲𐑓			9125
who's	𐑣𐑵'𐑟			9109
use	𐑿𐑕	NN		9096
chance	𐑗𐑨𐑯𐑕			9081
run	𐑮𐑳𐑯			9076
move	𐑥𐑵𐑝			9073
anyone	𐑧𐑯𐑦𐑢𐑳𐑯			9050
person	𐑐𐑻𐑕𐑩𐑯			8997
bye	𐑚𐑲			8969
somebody	𐑕𐑳𐑥𐑚𐑪𐑛𐑦			8923
Dr	𐑛𐑼			8917
heart	𐑣𐑸𐑑			8824
such	𐑕𐑳𐑗			8813
miss	𐑥𐑦𐑕			8806
married	𐑥𐑨𐑮𐑦𐑛			8798
point	𐑐𐑶𐑯𐑑			8707
later	𐑤𐑱𐑑𐑼			8636
making	𐑥𐑱𐑒𐑦𐑙			8623
meet	𐑥𐑰𐑑			8608
anyway	𐑧𐑯𐑦𐑢𐑱			8517
many	𐑥𐑧𐑯𐑦			8504
phone	𐑓𐑴𐑯			8424
reason	𐑮𐑰𐑟𐑩𐑯			8395
damn	𐑛𐑨𐑥			8367
lost	𐑤𐑪𐑕𐑑			8348
looks	𐑤𐑫𐑒𐑕			8337
bring	𐑚𐑮𐑦𐑙			8320
case	𐑒𐑱𐑕			8287
turn	𐑑𐑻𐑯			8264
wish	𐑢𐑦𐑖			8262
tomorrow	𐑑𐑩𐑥𐑪𐑮𐑴			8254
kids	𐑒𐑦𐑛𐑟			8247
trust	𐑑𐑮𐑳𐑕𐑑			8187
check	𐑗𐑧𐑒			8185
change	𐑗𐑱𐑯𐑡			8176
end	𐑧𐑯𐑛			8171
late	𐑤𐑱𐑑			8164
anymore	𐑧𐑯𐑦𐑥𐑹			8160
five	𐑓𐑲𐑝			8137
least	𐑤𐑰𐑕𐑑			8119
town	𐑑𐑬𐑯			8099
aren't	𐑸𐑯𐑑			8065
ha	𐑣𐑭			8033
working	𐑢𐑻𐑒𐑦𐑙			8016
year	𐑘𐑽			8013
makes	𐑥𐑱𐑒𐑕			8001
taking	𐑑𐑱𐑒𐑦𐑙			7996
means	𐑥𐑰𐑯𐑟			7980
brother	𐑚𐑮𐑳𐑞𐑼			7952
play	𐑐𐑤𐑱			7883
hate	𐑣𐑱𐑑			7839
ago	𐑩𐑜𐑴			7836
says	𐑕𐑧𐑟			7821
beautiful	𐑚𐑿𐑑𐑦𐑓𐑩𐑤			7813
gave	𐑜𐑱𐑝			7759
fact	𐑓𐑨𐑒𐑑			7654
crazy	𐑒𐑮𐑱𐑟𐑦			7650
party	𐑐𐑸𐑑𐑦			7633
sit	𐑕𐑦𐑑			7625
open	𐑴𐑐𐑩𐑯			7598
afraid	𐑩𐑓𐑮𐑱𐑛			7587
between	𐑚𐑦𐑑𐑢𐑰𐑯			7585
important	𐑦𐑥𐑐𐑹𐑑𐑩𐑯𐑑			7582
rest	𐑮𐑧𐑕𐑑			7417
fun	𐑓𐑳𐑯			7404
kid	𐑒𐑦𐑛			7380
word	𐑢𐑻𐑛			7355
watch	𐑢𐑪𐑗			7310
glad	𐑜𐑤𐑨𐑛			7277
everyone	𐑧𐑝𐑮𐑦𐑢𐑳𐑯			7214
days	𐑛𐑱𐑟			7213
sister	𐑕𐑦𐑕𐑑𐑼			7188
minutes	𐑥𐑦𐑯𐑦𐑑𐑕			7185
everybody	𐑧𐑝𐑮𐑦𐑚𐑪𐑛𐑦			7163
bit	𐑚𐑦𐑑			7158
couple	𐑒𐑳𐑐𐑩𐑤			7150
whoa	𐑢𐑴			7081
either	𐑲𐑞𐑼			7075
Mrs	𐑥𐑕𐑟			7064
feeling	𐑓𐑰𐑤𐑦𐑙			7058
daughter	𐑛𐑷𐑑𐑼			7057
wow	𐑢𐑬			7036
gets	𐑜𐑧𐑑𐑕			7023
asked	𐑨𐑕𐑒𐑑			7009
under	𐑳𐑯𐑛𐑼			6999
break	𐑚𐑮𐑱𐑒			6941
promise	𐑐𐑮𐑪𐑥𐑦𐑕			6926
door	𐑛𐑹			6907
set	𐑕𐑧𐑑			6878
close	𐑒𐑤𐑴𐑕	JJ		6877
close	𐑒𐑤𐑴𐑟	NN		6877
close	𐑒𐑤𐑴𐑕	RB		6877
close	𐑒𐑤𐑴𐑟	VB		6877
hand	𐑣𐑨𐑯𐑛			6872
easy	𐑰𐑟𐑦			6848
doctor	𐑛𐑪𐑒𐑑𐑼			6841
question	𐑒𐑢𐑧𐑕𐑗𐑩𐑯			6841
tried	𐑑𐑮𐑲𐑛			6830
far	𐑓𐑸			6728
walk	𐑢𐑷𐑒			6619
needs	𐑯𐑰𐑛𐑟			6555
trouble	𐑑𐑮𐑳𐑚𐑩𐑤			6510
mine	𐑥𐑲𐑯			6503
though	𐑞𐑴			6502
times	𐑑𐑲𐑥𐑟			6475
different	𐑛𐑦𐑓𐑼𐑩𐑯𐑑			6464
killed	𐑒𐑦𐑤𐑛			6390
hospital	𐑣𐑪𐑕𐑐𐑦𐑑𐑩𐑤			6378
anybody	𐑧𐑯𐑦𐑚𐑪𐑛𐑦			6376
sam	𐑕𐑨𐑥			6354
alright	𐑷𐑤𐑮𐑲𐑑			6348
wedding	𐑢𐑧𐑛𐑦𐑙			6334
shut	𐑖𐑳𐑑			6294
able	𐑱𐑚𐑩𐑤			6289
die	𐑛𐑲			6280
perfect	𐑐𐑻𐑓𐑦𐑒𐑑@𐑐𐑼𐑓𐑧𐑒𐑑			6276
perfect	𐑐𐑼𐑓𐑧𐑒𐑑	VB		6276
police	𐑐𐑩𐑤𐑰𐑕			6260
stand	𐑕𐑑𐑨𐑯𐑛			6257
comes	𐑒𐑳𐑥𐑟			6256
hit	𐑣𐑦𐑑			6248
story	𐑕𐑑𐑹𐑦			6231
waiting	𐑢𐑱𐑑𐑦𐑙			6132
dinner	𐑛𐑦𐑯𐑼			6099
against	𐑩𐑜𐑧𐑯𐑕𐑑			6064
funny	𐑓𐑳𐑯𐑦			6054
husband	𐑣𐑳𐑟𐑚𐑩𐑯𐑛			6038
almost	𐑷𐑤𐑥𐑴𐑕𐑑			6037
stupid	𐑕𐑑𐑵𐑐𐑦𐑛			6020
answer	𐑨𐑯𐑕𐑼			6016
pay	𐑐𐑱			6016
four	𐑓𐑹			6014
office	𐑪𐑓𐑦𐑕			5955
cool	𐑒𐑵𐑤			5954
eyes	𐑲𐑟			5950
news	𐑯𐑵𐑟			5936
child	𐑗𐑲𐑤𐑛			5913
shouldn't	𐑖𐑫𐑛𐑩𐑯𐑑			5874
half	𐑣𐑨𐑓			5819
side	𐑕𐑲𐑛			5813
yours	𐑘𐑹𐑟			5805
moment	𐑥𐑴𐑥𐑧𐑯𐑑			5770
sleep	𐑕𐑤𐑰𐑐			5747
read	𐑮𐑧𐑛	JJ		5743
read	𐑮𐑰𐑛	VB		5743
read	𐑮𐑧𐑛	VBD		5743
read	𐑮𐑧𐑛	VBN		5743
where's	𐑢𐑺'𐑟			5711
started	𐑕𐑑𐑸𐑑𐑩𐑛			5707
young	𐑘𐑳𐑙			5680
men	𐑥𐑧𐑯			5678
sounds	𐑕𐑬𐑯𐑛𐑟			5665
sonny	𐑕𐑳𐑯𐑦			5635
lucky	𐑤𐑳𐑒𐑦			5631
pick	𐑐𐑦𐑒			5610
sometimes	𐑕𐑳𐑥𐑑𐑲𐑥𐑟			5596
em	𐑩𐑥			5590
bed	𐑚𐑧𐑛			5589
also	𐑷𐑤𐑕𐑴			5583
date	𐑛𐑱𐑑			5581
line	𐑤𐑲𐑯			5564
plan	𐑐𐑤𐑨𐑯			5557
hours	𐑬𐑼𐑟			5503
lose	𐑤𐑵𐑟			5459
fire	𐑓𐑲𐑼			5452
free	𐑓𐑮𐑰			5433
hands	𐑣𐑨𐑯𐑛𐑟			5428
leo	𐑤𐑰𐑴			5390
serious	𐑕𐑽𐑾𐑕			5390
behind	𐑚𐑦𐑣𐑲𐑯𐑛			5388
shit	𐑖𐑦𐑑			5388
inside	𐑦𐑯𐑕𐑲𐑛			5379
high	𐑣𐑲			5377
ahead	𐑩𐑣𐑧𐑛			5364
week	𐑢𐑰𐑒			5356
wonderful	𐑢𐑳𐑯𐑛𐑼𐑓𐑩𐑤			5341
fight	𐑓𐑲𐑑			5326
past	𐑐𐑨𐑕𐑑			5315
cut	𐑒𐑳𐑑			5305
quite	𐑒𐑢𐑲𐑑			5304
number	𐑯𐑳𐑥𐑚𐑼			5289
he'll	𐑣𐑰'𐑤			5262
sick	𐑕𐑦𐑒			5256
it'll	𐑦𐑑'𐑤			5217
game	𐑜𐑱𐑥			5212
eat	𐑰𐑑			5202
nobody	𐑯𐑴𐑚𐑪𐑛𐑦			5195
goes	𐑜𐑴𐑟			5194
death	𐑛𐑧𐑔			5165
along	𐑩𐑤𐑪𐑙			5147
save	𐑕𐑱𐑝			5144
seems	𐑕𐑰𐑥𐑟			5138
finally	𐑓𐑲𐑯𐑩𐑤𐑦			5118
lives	𐑤𐑲𐑝𐑟	NNS		5095
lives	𐑤𐑦𐑝𐑟	VBZ		5095
worried	𐑢𐑳𐑮𐑦𐑛			5066
upset	𐑳𐑐𐑕𐑧𐑑			5064
theresa	𐑑𐑼𐑰𐑟𐑩			5056
met	𐑥𐑧𐑑			5032
book	𐑚𐑫𐑒			5027
brought	𐑚𐑮𐑷𐑑			5010
seem	𐑕𐑰𐑥			5001
sort	𐑕𐑹𐑑			5000
living	𐑤𐑦𐑝𐑦𐑙			4999
safe	𐑕𐑱𐑓			4999
children	𐑗𐑦𐑤𐑛𐑮𐑩𐑯			4944
weren't	𐑢𐑻𐑯𐑑			4896
leaving	𐑤𐑰𐑝𐑦𐑙			4889
front	𐑓𐑮𐑳𐑯𐑑			4868
shot	𐑖𐑪𐑑			4866
asking	𐑨𐑕𐑒𐑦𐑙			4851
loved	𐑤𐑳𐑝𐑛			4851
running	𐑮𐑳𐑯𐑦𐑙			4842
clear	𐑒𐑤𐑽			4836
figure	𐑓𐑦𐑜𐑘𐑼			4785
hot	𐑣𐑪𐑑			4777
felt	𐑓𐑧𐑤𐑑			4748
six	𐑕𐑦𐑒𐑕			4737
parents	𐑐𐑺𐑩𐑯𐑑𐑕			4725
drink	𐑛𐑮𐑦𐑙𐑒			4706
absolutely	𐑨𐑚𐑕𐑩𐑤𐑵𐑑𐑤𐑦			4704
how's	𐑣𐑬'𐑟			4652
daddy	𐑛𐑨𐑛𐑦			4641
alive	𐑩𐑤𐑲𐑝			4628
sweet	𐑕𐑢𐑰𐑑			4628
paul	𐑐𐑷𐑤			4616
sense	𐑕𐑧𐑯𐑕			4597
meant	𐑥𐑧𐑯𐑑			4596
david	𐑛𐑱𐑝𐑦𐑛			4589
happens	𐑣𐑨𐑐𐑩𐑯𐑟			4589
special	𐑕𐑐𐑧𐑖𐑩𐑤			4573
bet	𐑚𐑧𐑑			4548
blood	𐑚𐑤𐑳𐑛			4542
ain't	𐑱𐑯𐑑			4541
kidding	𐑒𐑦𐑛𐑦𐑙			4539
lie	𐑤𐑲			4536
full	𐑓𐑫𐑤			4533
meeting	𐑥𐑰𐑑𐑦𐑙			4532
dear	𐑛𐑽			4516
coffee	𐑒𐑪𐑓𐑦			4499
seeing	𐑕𐑰𐑦𐑙			4495
sound	𐑕𐑬𐑯𐑛			4488
fault	𐑓𐑷𐑤𐑑			4484
water	𐑢𐑷𐑑𐑼			4469
fuck	𐑓𐑳𐑒			4453
ten	𐑑𐑧𐑯			4448
women	𐑢𐑦𐑥𐑦𐑯			4441
john	𐑡𐑪𐑯			4413
welcome	𐑢𐑧𐑤𐑒𐑩𐑥			4373
buy	𐑚𐑲			4345
months	𐑥𐑳𐑯𐑔𐑕			4333
hour	𐑬𐑼			4325
speak	𐑕𐑐𐑰𐑒			4322
lady	𐑤𐑱𐑛𐑦			4301
thinks	𐑔𐑦𐑙𐑒𐑕			4298
christmas	𐑒𐑮𐑦𐑕𐑥𐑩𐑕			4284
body	𐑚𐑪𐑛𐑦			4271
order	𐑹𐑛𐑼			4270
outside	𐑬𐑑𐑕𐑲𐑛			4260
hang	𐑣𐑨𐑙			4243
possible	𐑐𐑪𐑕𐑩𐑚𐑩𐑤			4228
worse	𐑢𐑻𐑕			4218
company	𐑒𐑳𐑥𐑐𐑩𐑯𐑦			4209
mistake	𐑥𐑦𐑕𐑑𐑱𐑒			4185
handle	𐑣𐑨𐑯𐑛𐑩𐑤			4181
spend	𐑕𐑐𐑧𐑯𐑛			4175
totally	𐑑𐑴𐑑𐑩𐑤𐑦			4157
giving	𐑜𐑦𐑝𐑦𐑙			4143
control	𐑒𐑩𐑯𐑑𐑮𐑴𐑤			4134
here's	𐑣𐑽'𐑟			4130
marriage	𐑥𐑨𐑮𐑦𐑡			4129
realize	𐑮𐑾𐑤𐑲𐑟			4114
power	𐑐𐑬𐑼			4094
president	𐑐𐑮𐑧𐑟𐑦𐑛𐑩𐑯𐑑			4086
unless	𐑩𐑯𐑤𐑧𐑕			4078
sex	𐑕𐑧𐑒𐑕			4049
girls	𐑜𐑻𐑤𐑟			4048
send	𐑕𐑧𐑯𐑛			4045
needed	𐑯𐑰𐑛𐑩𐑛			4043
o	𐑴			4030
taken	𐑑𐑱𐑒𐑩𐑯			3997
died	𐑛𐑲𐑛			3996
scared	𐑕𐑒𐑺𐑛			3991
picture	𐑐𐑦𐑒𐑗𐑼			3984
talked	𐑑𐑷𐑒𐑑			3975
jake	𐑡𐑱𐑒			3962
al	𐑭𐑤			3958
ass	𐑨𐑕			3947
hundred	𐑣𐑳𐑯𐑛𐑮𐑩𐑛			3942
changed	𐑗𐑱𐑯𐑡𐑛			3929
completely	𐑒𐑩𐑥𐑐𐑤𐑰𐑑𐑤𐑦			3919
explain	𐑦𐑒𐑕𐑐𐑤𐑱𐑯			3913
playing	𐑐𐑤𐑱𐑦𐑙			3899
certainly	𐑕𐑻𐑑𐑩𐑯𐑤𐑦			3895
sign	𐑕𐑲𐑯			3890
